publisher	country	Number
Odense University Press	Denmark	4
Oup Oxford	United Kingdom	4
Russell Sage Foundation	United States	4
Turner	United States	4
University Penn Law Sch	United States	4
Lulucom	United States	4
Heldref Publ	United States	4
University De Cantabria	Spain	4
Fundacio Cidob	Spain	4
Arizona State University	United States	4
George Mason University	United States	4
Harvard Business School	United States	4
Harpercollins Uk	United Kingdom	4
University Tulsa	United States	4
Transaction Period Consortium	United States	4
University of Michigan Press	United States	4
American Heritage Subscription Dept	United States	4
Interperiodica	United States	4
Vsbtech University Ostrava	Czechia	4
W W Norton Company	United States	4
Akademiai Kiado Rt	Hungary	4
African Studies Program	United States	4
Wilfrid Laurier University Press	Canada	4
Henry Holt And Company	United States	4
Studienverlag Gesmbh	Austria	4
Carnegie Mellon University Press	United States	4
Lit Verlag Münster	Germany	4
Peabody Museum	United States	4
Springer Fachmedien	Germany	4
Pennsylvania State University Press	United States	4
Editorial Galaxia	Spain	4
Soc Historical Archaeology	United States	4
Sense Publ	United States	4
Phi Alpha Theta	United States	4
Pion	France	4
Columbia Journal Transnational Law Assoc	United States	4
Roca Editorial	Spain	4
Lsu Press	United States	3
Mcgraw Hill Professional	United States	3
House of Anansi	Canada	3
Jhu Press	United States	3
Ediciones Nowtilus Sl	Spain	3
Ekonom	Belarus	3
Mcclelland Stewart	United States	3
Environmental History	United States	3
E J Brill	United States	3
Icaria Editorial	Spain	3
Jagiellonian University Press	Poland	3
Jai Press	India	3
Kline Geology Laboratory	United States	3
Lumen	United States	3
A M S Press	United States	3
Soc Military History	United States	3
Wayne State University Press	United States	3
Department of Spanish Literature of The University of Granada	Spain	3
Bucknell University Press	United States	3
Bubok	Spain	3
Springer Berlin Heidelberg	Germany	3
Springer New York Llc	United States	3
St Martins Press	United States	3
Stanford University Press	United States	3
Suny Press	United States	3
Sweet Maxwell	United States	3
Temple University	United States	3
Boydell Brewer	United States	3
The University of Alabama Press	United States	3
Boydell And Brewer	United States	3
Transaction Publ	United States	3
Transcript Verlag	Germany	3
U of Minnesota Press	United States	3
Unam	Mexico	3
University Complutense Madrid Servicio Publicaciones	Spain	3
Berkeley Electronic Press	United States	3
University De Tarapaca	Chile	3
Ariz State University	United States	3
Applewood Books	United States	3
American Soc Int Law	United States	3
University of South Carolina Aiken	United States	3
American Chemical Soc	United States	3
Grupo Planeta Gbs	United States	3
American Anthropological Assoc	United States	3
Sixteenth Century Journal Publ	United States	3
Siglo Xxi De España Editores	Spain	3
Carfax Publ	United States	3
Ac Black	United States	3
Modern Language Assoc American	United States	3
Dartmouth College Press	United States	3
Csis	United States	3
Natl Acad Sciences	United States	3
Crc Press	United States	3
New Republic	United States	3
New School University	United States	3
Cornell Int Law Journal	United States	3
Copernicus Gesellschaft Mbh	Germany	3
Northwestern University Press	United States	3
Consejo Superior De Investigaciones Cientificas	Spain	3
Oneworld Publ	United States	3
Oup Usa	United States	3
Reaktion Books	United Kingdom	3
Oxford University Press On Demand	United States	3
Palgrave Macmillan Uk	United Kingdom	3
Pan Macmillan	India	3
Peter Lang Pub Incorporated	United States	3
Phaidon Press	United States	3
Picador	United States	3
German Historical Inst	United States	3
Presbyterian Historical Soc	United States	3
Publicaffairs	United States	3
Punto Rojo Libros	Spain	3
Georgetown University Press	United States	3
Forum Italicum	Germany	3
Alba Editorial	Spain	3
European Institute of Romania	Romania	2
Equinox Publ	United States	2
Eurocontrol	Belgium	2
English Folk Dance Song Soc	United Kingdom	2
Cogitatio Press	United States	2
Encuentro	United States	2
Anchor	United States	2
Boston University Scholarly Publ	United States	2
Bibliographical Soc American	United States	2
Aurum Press Limited	United States	2
Assn Educ Journalism Mass Communication	United States	2
Annual Reviews	United States	2
Andres Bello	Venezuela	2
American Sociological Assoc	United States	2
Brant Publ	United States	2
American Soc Plant Taxonomists	United States	2
American Political Science Assoc	United States	2
American Planning Assoc	United States	2
American Inst Aeronautics Astronautics	United States	2
American Assoc Teachers French	United States	2
African American Review	United States	2
Bowling Green Popular Press	United States	2
Cent Great Plains Stud	United States	2
Elsevier Science	United States	2
Ediciones Colihue Srl	Argentina	2
Elsevier Gmbh Urban Fischer Verlag	United States	2
El Colegio De Mexico Ac	Mexico	2
Editorial Mundo Hispano	Spain	2
Edinburgh University Pr	United Kingdom	2
Ediciones Granica Sa	Argentina	2
Ediciones Era	Mexico	2
Ecobook	Japan	2
Columbia Law Review Association	United States	2
Duke Law Publ	United States	2
Doubleday	United States	2
Current Hist	United States	2
Createspace Independent Publ Platform	United States	2
Courier Corporation	United States	2
Consejo Superior Investigaciones Cientaficas	Spain	2
Georgia State University	United States	2
Zondervan	United States	2
Government Printing office	United States	2
New Directions Publ	United States	2
University De Concepcion	Chile	2
University Chile Fac Filos Human Educ	Chile	2
University Calif Press	United States	2
Texas Law Review Publ	United States	2
Siglo Xxi	Mexico	2
North Texas Stat University	United States	2
Nineteenthcentury Prose	United States	2
New York State Hist Assoc	United States	2
Natl Poetry Foundation	United States	2
Knopf	United States	2
Nation Co	United States	2
Narcea Ediciones	Spain	2
Mit Press Journals	United States	2
Millennium Publ Group	India	2
Mary Ann Liebert	United States	2
Louisiana State University	United States	2
Lom Ediciones	Chile	2
Libreria Cientifica Medinaceli	Spain	2
University Iowa	United States	2
University Kansas	United States	2
University Nacional De La Pampa	Argentina	2
University New Brunswick	United States	2
World Policy Inst	United States	2
Western History Assoc	United States	2
West Virginia University Press	United States	2
West Chester University	United States	2
Weider Hist Grp	United States	2
Washington State University	United States	2
Wageningen Academic Publ	Netherlands	2
W W Norton	United States	2
Vwbverlag Wissenschaft Bildung	Germany	2
Vintage Espanol	United States	2
Vintage Canada	Canada	2
Vervuert Verlag	Germany	2
Unm Press	United States	2
University Press of Florida	United States	2
University Press American	United States	2
University Oklahoma Press	United States	2
University Newcastle	Australia	2
Knopf Books For Young Readers	Canada	2
Soc American Archaeology	United States	2
Lexxion Verlagsgesellschaft Mbh	Germany	2
Houghton Mifflin	United States	2
Hudson Institute	United States	2
Kent State University	United States	2
University Miami	United States	1
Ariel University Calgary	Canada	1
Espuela De Plata	Argentina	1
Appalachian State University Appalachian Journal	United States	1
University Nacional Del Centro De La Provincia De Buenos Aires	Argentina	1
Apollo Magazine	United States	1
Hoover Institution	United States	1
Arnold Hodder Headline Plc	United States	1
University Northern Colorado Co Ester G Gonzalez Editor	United States	1
European Institute Public Administration	Luxembourg	1
University Politèc De Catalunya	Spain	1
American Soc Mechanical Engineers	United States	1
Hoover Inst	United States	1
Hofstra University Press	United States	1
University Southern Calif	United States	1
University Massachusetts Massachusetts Review	United States	1
University Marylandctr Renaissance Baroque Stud	United States	1
Artnews Assoc	United States	1
American Scholars Press	United States	1
Berghahn Books Editorial offices	United States	1
University Georgia	United States	1
University Illinois	United States	1
Beacon Press	United States	1
Baylor University	United States	1
I E E E Computer Soc Press	United States	1
Avotaynu	United States	1
Austrian Academy of Sciences	Austria	1
University Iowa Dept English	United States	1
Astronomical Soc Pacific	United States	1
Associated University Presse	United States	1
Assoc Consumer Research	United States	1
Assoc Collegiate Sch Planning	United States	1
Assoc Coll Research Libraries	United States	1
Assoc Advancement Baltic Studies	United States	1
University Tarapaca	Chile	1
University Virginia	United States	1
University De Chile Facultad De Filosofia Y Humanidades Departamento De Literatura	Chile	1
Gallaudet University Pr	United States	1
American Assn Teach Span Portug	United States	1
American Antiquarian Soc	United States	1
Wallflower Press	United States	1
Harvard Law School	United States	1
Harvard Law Rev Assoc	United States	1
Agricultural History Society	United States	1
African Studies Review	United States	1
West Virginia University	United States	1
University Washington	United States	1
Geological Soc American	United States	1
Harvard Business School Publ Corporation	United States	1
Western History Association	United States	1
Wiley Periodicals	United States	1
Guilford Publ	United States	1
Yale French Studies	United States	1
Yale Law J Co	United States	1
Heritage Foundation	United States	1
American Assoc Museums	United States	1
Foundation Study Independent Social Ideas	United States	1
Hindawi Publ Corporation	United States	1
University Wisconsin Madison African Studies Program	United States	1
American Mathematical Soc	United States	1
American Marketing Assoc	United States	1
American Library Assoc	United States	1
American Journal Science	United States	1
American Inst Chemical Engineers	United States	1
University of Oklahoma Press	United States	1
American Inst Aeronaut Astronaut	United States	1
University of Washington Pr	United States	1
History Today	United States	1
History Educ Quarterly	United States	1
American Geographical Soc	United States	1
Historical Reflections	United States	1
American Criminal Law Review	United States	1
Fordham University School Law	United States	1
Entrelineas Editores	Spain	1
Editorial Renacimiento	Spain	1
Latinoamericana Editores	United States	1
New Press The	United States	1
Keatsshelley Assoc American	United States	1
Nation Books	United States	1
J West	United States	1
Natl Council Teachers English	United States	1
Istituti Editoriali E Polgrafici Internazionali	Italy	1
Naval Inst Press	United States	1
Irish American Cultural Inst	United States	1
Intertec Publ Corp	United States	1
Biteback Publ	United States	1
Internet Gesellschaft Collaboratory	Germany	1
Int Studies Philosophy	United States	1
Northeastern University Pr	United States	1
Northwestern University	United States	1
Northwestern University School Law	United States	1
Notre Dame Law School	United States	1
Conseil National Du Numérique	France	1
Museum of Fine Arts Houston	United States	1
Museum Afr American Art	United States	1
Keck Center Int Strategic Studies	United States	1
Mississippi Quarterly	United States	1
Latvia University Agriculture	Latvia	1
Lawbook Exchange Limited	United States	1
Lexington Books	United States	1
Editorial Seleer	United States	1
Locke Science Publ Co	United States	1
Editorial Visión Libros	Argentina	1
Loyola University Midamerica	United States	1
Ecological Soc American	United States	1
M E Sharpe	United States	1
Editum	Germany	1
Medimond S R L	United States	1
Metropolitan Opera Guild	United States	1
Midwest Modern Language Assoc	United States	1
Die Gestalten Verlagdgv	Germany	1
Educational Studies Press	United States	1
Competition Policy Int	United States	1
Philosophy Today Depaul University	United States	1
Planeta Argentina	Spain	1
Soc Spanish Spanishamer Studies	United States	1
Soc Spanish Spanishamerican Studies	United States	1
British Sociological Assoc	United Kingdom	1
British Inst Int Comp Law	United Kingdom	1
Brill Nijhoff	United States	1
Spieint Soc Optical Engineering	United States	1
Studies Latin American Popular Culture	United States	1
Temple University Dept Spanish Portuguese	United States	1
Int Assoc Energy Economics	United States	1
The University of North Carolina Press	United States	1
Tsinghua University Press	United States	1
U C L A American Indian Studies Center	United States	1
University Alberta	Canada	1
University Calif	United States	1
Inst Economic Researchpoland	Poland	1
Indiana Universitypurdue University	United States	1
Brown University	United States	1
Soc Motion Picture Tv Eng	United States	1
Coll Language Assoc	United States	1
Bur Economic Business Research University Illinois	United States	1
Coll Art Assoc	United States	1
Pontificia University Catolica Chile Centro Estud Lit Chilena	Chile	1
Clahr Spanish Colonial Res Center	United States	1
Centro De Estudios Migratorios Latinoamericanos	Argentina	1
Center Migration Studies	United States	1
Queens Quarterly	United States	1
Catholic University of America Press	United States	1
Rowman Littlefield Publ	United States	1
Catarata	Spain	1
Scholars Press	United States	1
Sears Foundation Marine Research	United States	1
Capstone	United States	1
Canadian Review American Studies	Canada	1
Int Assoc Plant Taxonomy	United States	1
Groveatlantic	United States	1
University De Alicante	Spain	1
