Source	Target	Label
u97642	u97555	COLLABORATES
u76596	u77706	COLLABORATES
u97639	u97968	COLLABORATES
u98417	u97642	COLLABORATES
u59405	u97610	COLLABORATES
u95244	u95243	COLLABORATES
u74759	u74758	COLLABORATES
u97674	u97558	COLLABORATES
u85263	u85255	COLLABORATES
u97912	u98006	COLLABORATES
u97608	u99165	COLLABORATES
u592	u591	COLLABORATES
u97868	u98265	COLLABORATES
u98152	u97641	COLLABORATES
u1580	u1191	COLLABORATES
u447	u445	COLLABORATES
u97775	u97610	COLLABORATES
u94345	u94338	COLLABORATES
u91058	u91057	COLLABORATES
u555	u554	COLLABORATES
u97560	u143829	COLLABORATES
u59124	u59123	COLLABORATES
u15884	u15883	COLLABORATES
u78948	u78946	COLLABORATES
u183	u76633	COLLABORATES
u97557	u97556	COLLABORATES
u97554	u97560	COLLABORATES
u97556	u98695	COLLABORATES
u1050	u1049	COLLABORATES
u76923	u76922	COLLABORATES
u9289	u9288	COLLABORATES
u97774	u97641	COLLABORATES
u98007	u143828	COLLABORATES
u97563	u143829	COLLABORATES
u98726	u97836	COLLABORATES
u74554	u74553	COLLABORATES
u1148	u1146	COLLABORATES
u9554	u9553	COLLABORATES
u97553	u98151	COLLABORATES
u97561	u97868	COLLABORATES
u79908	u79907	COLLABORATES
u97552	u101210	COLLABORATES
u70173	u70172	COLLABORATES
u142	u141	COLLABORATES
u58981	u59004	COLLABORATES
u73941	u73939	COLLABORATES
u78502	u78501	COLLABORATES
u237	u235	COLLABORATES
u98125	u59405	COLLABORATES
u97612	u143829	COLLABORATES
u811	u817	COLLABORATES
u97612	u98358	COLLABORATES
u97608	u98114	COLLABORATES
u97640	u97554	COLLABORATES
u25283	u25282	COLLABORATES
u88048	u73023	COLLABORATES
u23668	u23667	COLLABORATES
u76489	u76488	COLLABORATES
u81891	u81889	COLLABORATES
u97638	u97776	COLLABORATES
u94319	u94317	COLLABORATES
u2922	u2921	COLLABORATES
u97774	u98294	COLLABORATES
u102	u619	COLLABORATES
u97642	u97912	COLLABORATES
u97775	u97611	COLLABORATES
u98265	u97554	COLLABORATES
u762	u761	COLLABORATES
u97776	u98114	COLLABORATES
u18326	u18325	COLLABORATES
u67	u66	COLLABORATES
u97553	u98294	COLLABORATES
u97558	u97608	COLLABORATES
u64210	u65679	COLLABORATES
u73193	u73192	COLLABORATES
u144	u79852	COLLABORATES
u97609	u98294	COLLABORATES
u749	u94342	COLLABORATES
u98263	u97608	COLLABORATES
u94340	u94339	COLLABORATES
u97673	u108601	COLLABORATES
u16	u15	COLLABORATES
u85581	u85578	COLLABORATES
u97556	u97552	COLLABORATES
u58981	u59187	COLLABORATES
u79910	u79909	COLLABORATES
u90482	u90481	COLLABORATES
u108601	u97552	COLLABORATES
u77570	u84565	COLLABORATES
u1050	u1048	COLLABORATES
u98265	u97912	COLLABORATES
u97559	u97562	COLLABORATES
u87148	u87146	COLLABORATES
u97562	u97639	COLLABORATES
u64210	u65681	COLLABORATES
u91934	u91933	COLLABORATES
u534	u532	COLLABORATES
u97554	u97552	COLLABORATES
u97612	u97673	COLLABORATES
u164	u97063	COLLABORATES
u97555	u104104	COLLABORATES
u78932	u78930	COLLABORATES
u87147	u87146	COLLABORATES
u703	u702	COLLABORATES
u97612	u97671	COLLABORATES
u1558	u1556	COLLABORATES
u59405	u97611	COLLABORATES
u93099	u93098	COLLABORATES
u99382	u97611	COLLABORATES
u98006	u97610	COLLABORATES
u90837	u90835	COLLABORATES
u1557	u1555	COLLABORATES
u74925	u74923	COLLABORATES
