Routledge Taylor Francis Group	1068
Cambridge University Press	456
Oxford University Press	327
Wiley - Blackwell Publ	315
Palgrave Macmillan	182
Sage Publ	160
Ashgate Publ	141
Johns Hopkins University Press	100
Duke University Press	87
University Chicago Press	71
Organization American Historians	62
Springer	56
Edinburgh University Press	55
Nova Science Publ	54
Indiana University Press	40
Mit Press	38
American Historical Review	36
Pergamon Elsevier Science	33
Berghahn Books	31
Brill Academic Publ	30
Liverpool University Press	29
Inst Early American Hist Cult	28
University North Carolina Press	28
Taylor Francis	28
University Toronto Press	28
Wiley	27
University of Pennsylvania Press	26
Elsevier	25
Elsevier Science Bv	25
Mcgraw Hill	24
Yale University Press	24
American Geophysical Union	23
Princeton University Press	22
Southern Historical Assoc	22
Edward Elgar Publ	21
Counc Foreign Relat	21
Maney Publ	20
University of New Hampshire Press	19
John Wiley And Sons	18
Springer International Publ	18
University of Georgia Press	18
Public Library Science	17
Intellect	17
Ieee	17
University of North Carolina Press	17
Kluwer Academic Publ	16
Elsevier Sci	16
Random House	15
Harper Collins	15
Nature Publ Group	15
Academic Press Elsevier Science	15
University California Press	14
University Pennsylvania Press	14
University Press of Virginia	14
Kluwer Law International	14
Canadian Inst Int Affairs	14
Berghahn Journals	13
Simon And Schuster	13
Brookings Institution Press	13
University Illinois Press	13
Mcgillqueens University Press	13
University of Toronto Press	13
Brill	13
Penn State University Press	13
University Press of Mississippi	12
Manchester University Press	12
University of Virginia Press	12
Peter Lang Ag	12
University of Chicago Press	12
Vintage	12
Royal Soc	12
Oxford University Press Usa	12
John Wiley Sons	11
Frank Cass	11
New England Quarterly	11
Simon Fraser University Int History Review	11
Times Supplements Limited	11
Academic Press	11
Frank Cass Co	11
Linkgua Digital	11
Ed Inst Boston University	11
American Assoc Teachers Spanish Portuguese	11
Penguin	11
M I T Press	11
Revista De Estudios Hispanicos	11
Kluwer Law Int	10
Louisiana State University Press	10
Walter De Gruyter Gmbh	10
Harvard University Press	10
Historical Soc Pa	10
Ieeeinst Electrical Electronics Engineers	10
University of Illinois Press	9
Catholic University American Press	9
Maik Naukainterperiodicaspringer	9
Springer Netherlands	9
Rutgers University Press	9
European Institute	9
Ohio University Press	9
Siruela	9
University North Carolina	8
University Press of Kentucky	8
Michigan State University Press	8
New York Times	8
Cornell University Press	8
Debolsllo	8
Ediciones Akal	8
Macmillan Magazines	8
George Washington University	8
Times Newspapers	8
Sudamericana	8
Houghton Mifflin Harcourt	8
B De Books	8
Emerald Group Publ	8
Encounter	8
University of Iowa Press	8
Organ American Historians	8
Bowker Magazine Group Cahners Magazine Division	8
Bloomsbury Publ Usa	8
University of California Press	8
African Studies Center	8
Inst Int Lit Iberoamericana	7
Rowman Littlefield	7
Iatedint Assoc Technology Education A Development	7
Ohio State University Press	7
Kent State University Press	7
University of Wisconsin Press	7
American Assoc Advancement Science	7
Interpress Verlag Gmbh	7
Editorial Dunken	7
Palibrio	7
University of Nebraska Press	7
Kitlv Press	7
New York Review	7
Transaction Period Consortium	7
Marcial Pons Historia	6
Bloomsbury Publ Plc	6
Royal Inst Int Affairs	6
Soffer Publ	6
Plaza Janes	6
University Hawaii Press	6
Reed Business Information	6
Springer Heidelberg	6
Springer Verlag	6
Penguin Uk	6
Open Road Media	6
Texas Am University Press	6
Macmillan	6
Iop Publ	6
Grupo Planeta Spain	6
Aerospace Medical Assoc	6
University Nebraska Press	6
Acad American Franciscan Hist	6
American Soc Church History	6
American Soc Comparative Law	6
Hachette Uk	6
Harpercollins	6
Editorial Csic Csic Press	6
University of Alabama Press	6
American Soc Engineering Education	6
Universityersitat De València	6
University Texas Press	6
American Meteorological Soc	6
Faculty of European Studies	5
Nicolae Balcesculand Forces Academy	5
New York University Press	5
New York University	5
University Wisconsin Press	5
Kentucky Historical Soc	5
Bloomsbury Publ	5
Nomos Verlagsgesellschaft	5
American Economic Assoc	5
University of Georgia	5
Consejo Superior Investigaciones Cientificascsic	5
Ios Press	5
University of Texas Press	5
Editorial Uned	5
Upne	5
Berg Publ	5
Vanderbilt University Press	5
Verbum Editorial	5
State University of New York Press	5
Project Muse	5
Soc Nautical Research	5
Purdue University Press	5
Appalachian State University	5
Soc Historians Early American Republic	5
Csic Consejo Superior De Investigaciones Cientificas	5
Fordham University Press	5
Council Foreign Relat Ions	5
Acad Political Science	5
De Gruyter Open	5
Debate	5
Mcgillqueens Press Mqup	5
Editorial Galaxia	4
Harvard Business School	4
Center Historical Social Researchzentrum Historische Sozialforschung	4
Insula Libreria Edic Publ Sa	4
Springer Fachmedien	4
Interperiodica	4
Peabody Museum	4
Pennsylvania State University Press	4
Harpercollins Uk	4
Sixteenth Century Journal Publ	4
Russell Sage Foundation	4
Phi Alpha Theta	4
Fondo De Cultura Economica	4
Heldref Publ	4
W W Norton Company	4
Carnegie Mellon University Press	4
Henry Holt And Company	4
Studienverlag Gesmbh	4
Bibliobazaar Llc	4
Histoire Sociale Dept History	4
Fundacio Cidob	4
Vsbtech University Ostrava	4
Lulucom	4
Akademiai Kiado Rt	4
Pion	4
African Studies Program	4
Gesis – Leibniz Institute For The Social Sciences	4
Literatura Random House	4
Soc Historical Archaeology	4
Motorbooks International	4
Farrar Straus And Giroux	4
Columbia Journal Transnational Law Assoc	4
University Penn Law Sch	4
Lit Verlag Münster	4
Wilfrid Laurier University Press	4
University Tulsa	4
Sense Publ	4
Odense University Press	4
American Heritage Subscription Dept	4
Nyu Press	4
Turner	4
George Mason University	4
University De Cantabria	4
Arizona State University	4
Council On Foreign Relations	4
University of Michigan Press	4
Roca Editorial	4
Oup Oxford	4
European Society For Engineering Education Sefi	3
Reaktion Books	3
Bubok	3
Bucknell University Press	3
Boydell Brewer	3
Radical Philosophy	3
Environmental History	3
Forum Italicum	3
Georgetown University Press	3
Punto Rojo Libros	3
Grupo Planeta Gbs	3
German Historical Inst	3
Lumen	3
Publicaffairs	3
Modern Humanities Res Assn	3
Natl Acad Sciences	3
Consejo Superior De Investigaciones Cientificas	3
Copernicus Gesellschaft Mbh	3
Cornell Int Law Journal	3
E J Brill	3
Lid Editorial	3
Modern Language Assoc American	3
Modern Humanities Research Association	3
Crc Press	3
Ediciones Nowtilus Sl	3
Mcgraw Hill Professional	3
Mcclelland Stewart	3
Max Niemeyer Verlag	3
Martinus Nijhoff Publ	3
Department of Spanish Literature of The University of Granada	3
Csis	3
Dartmouth College Press	3
Lsu Press	3
Kline Geology Laboratory	3
New Republic	3
Carfax Publ	3
Pan Macmillan	3
Presbyterian Historical Soc	3
House of Anansi	3
