affiliation	Number	lat	long	country			
George Washington University Natl Law Center	2			
Powerhouse Books	1			
Libros Del Zorzal	2			
History Pressltd	1			
University Zilina Fac Operation Economics Transport Communication	2			
W W Norton	2	41.9667703	-71.1869963	United States
Ljubljana University Faculty of Social Sciences	1			
Siruela	9	38.9790703	-5.0481593	Spain
Society For Historical Archaeology	2			
Picador	3	40.7409928	-73.98965869999999	United States
Public Library Science	17	40.7482687	-73.9829748	United States
Calaloux Publ	1			
University of Virginia Press	12	38.0335529	-78.5079772	United States
University Nac Centro Provincia Buenos Aires	2			
Trans Atlantic	1			
Boydell Press	1			
Profile Books	2			
Histoire Sociale Dept History	4			
Editions Rodopi B V	2			
Mcclelland Stewart	3	34.2508669	-77.9098929	United States
Wide Eyed Editions	1			
American Assoc Advancement Science	7	38.9002325	-77.028458	United States
University of Alabama Press	6	33.2166268	-87.5421508	United States
Future Acad	1			
University Autonoma Barcelona Dept Flilologia Espanyola	1			
Lawtext Publ	1			
Craven Street Books	1			
Hmso Books	1			
Consejo Superior De Investigacinvestigaciones Cientificas	1			
Mcgrawhill Professional	1			
Kids Can Press	1			
Editorial Dunken	7	-34.6050854	-58.39510439999999	Argentina
University Complutense Madrid Servicio Publicaciones	3	40.4478246	-3.728587199999999	Spain
Editorial Uned	5	9.9408578	-84.04785629999999	Costa Rica
Consejo Superior Investigaciones Cientaficas	2	40.4504071	-3.7240333	Spain
Charles Peterson Sheppard	1			
Sunystate University Ny Fredonia	1			
Editorial Cultiva Libros Sl	1			
Nordica	2			
Plaza Janes	6	36.3541231	-86.32630139999999	United States
Southern Historical Assn	1			
Spieint Soc Optical Engineering	1			
Academic Press Elsevier Science	15			
Consejo Superior De Investigaciones Cientificas Instituto De Economia Y Geografia Aplicadas	2			
Libros Del Asteroide	1			
Palgrave	1			
Edicions Universityersitat Barcelona	1			
Alba Editorial	3	41.3814768	2.1764466	Spain
American Soc Church History	6	38.4608927	-122.6689576	United States
Organization Economic Cooperation Development	1			
University Barcelona Dept Historia Inst Economiques	1			
Att Bell Laboratories	1			
University of Nebraska Press	7	40.8201966	-96.70047629999999	United States
Oup Usa	3	35.8224484	-78.80541649999999	United States
Planeta Publ	1			
Author House	1			
American Soc Comparative Law	6	38.9124153	-77.0500338	United States
University North Carolina Press	28	35.9155658	-79.04552699999999	United States
Ohio University Press	9	39.3281624	-82.1017911	United States
Encounter	8	40.6243076	-75.4442325	United States
Frank Cass Co	11	42.598934	-82.897626	United States
Parramon	1			
David R Godine Publ	1			
Pacific Affairs University British Columbia	2			
Earbooks	1			
Pergamon Elsevier Science	33	38.4666735	-91.8154572	United States
Counc Religion Int Affairs	1			
Longman Group Uk	1			
Carol I Natl Defense University	1			
Urban Und Fischer Verlag Jena	1			
Melandrium	1			
Entrelineas Editores	1	40.290626	-3.789026	Spain
Revue D Histoire Ecclesiastique	1			
European Assoc American Studies	2			
University Do Vale Do Rio Dos Sinos	1			
Didiererudition	1			
University De Chile Facultad De Filosofia Y Humanidades Departamento De Literatura	1			
Aragón Tiene Talento	1			
Hachette Books	1			
Historical Soc Pa	10	39.947787	-75.16273199999999	United States
Munksgaard Int Publ	1			
Iuniversityerse	3			
Metropolitni Universityerzita Praha	1			
Louisiana State University Press	10	30.4132579	-91.1800023	United States
Hoover Inst	1			
American Assoc Teachers Spanish Portuguese	11	42.537048	-83.491957	United States
Sixteenth Century Journal Publ	4			
Punto Rojo Libros	3	37.3897581	-5.9917064	Spain
Lumen Editorial	1			
Assoc Evolutionary Economics	1			
Gesis Leibniz Institute For The Social Sciences	2			
Ieee Computer Soc Learning Technology Task Force	1			
Genealogical Publ Com	1			
Asoc Historia Abierta	1			
Colegio De Mexico Centro De Estudios Historicos	2			
Nyu Press	4	40.7336626	-73.9907953	United States
Mango Media	1			
Fundacion Lazaro Galdiano	1			
Agencia Espanola Cooperacion Int Desarroloaecid	1			
Int Studies Philosophy	1			
Sage Publ	160	34.191167	-118.927684	United States
United Chapters Phi Beta Kappa	1			
Centro De Estudios Historicus Consejo Super Invest Cientif	1			
Harpers Magazine Foundation	1			
Boydell And Brewer	3	43.1369666	-77.613913	United States
Inst Early American Hist Cult	28	37.26991690000001	-76.7160653	United States
New York State Hist Assoc	2			
Houghton Mifflin Harcourt	8	42.3552909	-71.05307669999999	United States
Abrams	1			
Woltersnoordhoff B V	1			
American Assoc Teachers French	2			
Verbum Editorial	5	40.3084162	-3.4765557	Spain
Bluebridge	1			
American Marketing Assoc	1			
Linkgua Digital	11	41.381936	2.156539	Spain
Temple University School Law	1			
J West	1			
Current Hist	2			
Pontificia University Jave	1			
Cameron May	1			
Northeastern University Pr	1			
University Kansas	2	38.9543439	-95.2557961	United States
Turner	4	39.0603759	-94.7027873	United States
Vintage Canada	2	43.7785417	-79.4897992	Canada
University De Tarapaca	3	-20.2336753	-70.14121759999999	Chile
Trinity College	2			
Babelcube	1			
Kent State University	2	41.1490629	-81.34146489999999	United States
Oxford University Press	327	40.7482596	-73.9828835	United States
Science History Publ	1			
Librairie Armand Colin	1			
Wentworth Press	1			
New York Review of Books	2			
The University of Alabama Press	3	33.2166268	-87.5421508	United States
Solaris	1			
Int Assoc Plant Taxonomyiapt	1			
Editorial Gedisa	1			
Ediciones Del Serbal Sa	1			
University Press of Florida	2	29.6526163	-82.341544	United States
Avotaynu	1			
Equinox Publ	2	40.754686	-73.985472	United States
New York Review	7	40.7127753	-74.0059728	United States
Pion	4	46.005995	4.118169	France
John Rylands University Library Attn Ms Judith E Kent	1			
Flinders University Humanities Research Centre	1			
Mit Press	38	42.3623902	-71.0982617	United States
University Concepcion Biblioteca Central	1			
Elsevier Bv	2			
Northeastern University	1			
Kent State University Press	7	41.1490629	-81.34146489999999	United States
J History Co	1			
John Benjamins Publ Co	1			
Vsbtech University Ostrava	4	49.8307856	18.162868	Czechia
Crowood Press Uk	1			
Metropolitan Books	1			
University Wisconsin Madison African Studies Program	1			
Vintage Espanol	2	38.5800123	-121.4908543	United States
Czech Society of International Law	1			
Editorial Limusa	1			
Delacorte Press Books For Young Readers	1			
Fairleigh Dickinson University Press	1			
Eurospan	1			
Cide	1			
Markus Wiener Publ	1			
Brill	13	45.6027334	-91.6721121	United States
Gibbs Smith Publ	1			
Henry Holt And Company	4	40.7409928	-73.98965869999999	United States
University Alabama Press	1			
Melville House	2			
Business History Review	1			
English Assoc	1			
Ediciones Colihue Srl	2	-34.6086691	-58.439148	Argentina
American Society of Comparative Law	2			
New Canadian Library	1			
Editorial Reus	1			
Tyndale Espanol	1			
Springer	56	36.36114450000001	-104.5952668	United States
Clarendon Press	1			
Sweet Maxwell	3	43.1975924	-97.6062384	United States
Saturday Review Partners	1			
Inst Oceanografico University Sao Paulo	1			
American Fed Inform Processing Soc	1			
Encuentro	2	37.797269	-122.2788426	United States
Arno Pr	1			
New Scientist Publ Expediting	1			
Edition Reichenberger	1			
University Toulouse Iijean Jaures	1			
Springerverlag	1			
Inferenze Scarl	1			
Berkeley Electronic Press	3	37.8705535	-122.2711502	United States
Soho Press	1			
Mcgill University	2			
Mcgillqueens Press Mqup	5	45.502196	-73.57574000000001	Canada
Ieee	17	38.904036	-77.045288	United States
West Chester University	2	39.9518653	-75.5999933	United States
Rutgers University	1			
University of Pittsburgh Press	2			
Carnegie Mellon University Press	4	40.4433542	-79.94192740000001	United States
University California Press	14	37.8107517	-122.2638832	United States
State University of New York Press	5	42.6503027	-73.75275959999999	United States
Viking Press	1			
Northwestern University Press	3	42.0564594	-87.67526699999999	United States
Ediciones Babylon	1			
Iberoamericana Editorial	1			
Canadian Inst Int Affairs	14	45.4271877	-75.6943896	Canada
Institut Des Hautes Etudes De Lamerique Latine Iheal	1			
Atlantic Council U S	1			
Little Brown	1			
Palgrave Macmillan Uk	3	51.29751049999999	-1.0637855	United Kingdom
Canongate Books	2			
Seminari Deconomia Crítica Taifa	1			
M E Sharpe	2			
Ens Editions	1			
Assoc Advancement Baltic Studies	1			
Helbing Lichtenhahn Verlag	1			
New York Warner Books	1			
Reverte	2			
Grijalbo	2			
American Political Science Assoc	2	38.9106846	-77.0420266	United States
University Wisconsin Press	5	43.0641729	-89.41877099999999	United States
University of Dubronvnik	1			
Antiquity	1			
Springer New York Llc	3	40.72582200000001	-74.004834	United States
Ediciones Nowtilus Sl	3	40.4103966	-3.654838299999999	Spain
Broadway Books	1			
Harvard Law Rev Assoc	1			
London R Bentley	1			
University of California Press	8	37.8107517	-122.2638832	United States
Ediciones Era	2	19.4243687	-99.1585569	Mexico
Xlibris Corporation	2			
Abcclio	1			
Prentice Hall	1			
Fodors Travel	1			
African Studies Center	8	42.27468690000001	-83.7364887	United States
University Oklahoma Press	2	35.2687554	-97.4831945	United States
University Press of Kentucky	8	38.035635	-84.50841199999999	United States
Juraj Dobrila University Pula	1			
University Iowa Dept English	1			
Los Libros De La Catarata	2			
University Nacional Educacion Distancia	1			
Amazoncrossing	1			
Center For Transatlantic Relations Sais	1			
General Books Llc	1			
Grupo Planeta Spain	6	41.3894289	2.1285734	Spain
Firenze University Press	1			
Bucknell University Press	3	40.9546869	-76.8835514	United States
University of Chicago Press	12	41.7858303	-87.59053970000001	United States
York University	1			
Fordham University School Law	1			
Agricultural History Society	1			
Carfax Publ Co	1			
Junta Andalucia Centro Documentacion Musical Andalucia	1			
Australian International Academic Centre Pty	2			
Penguin Group Usa	1			
Aerospace Medical Assoc	6	38.8027939	-77.0516895	United States
University Federal Fluminense	1			
Jules Verne	1			
Boston University Scholarly Publ	2			
Gordon Breach Sci Publ	1			
Editorial Biblos	1			
Charles C Thomas Publ	1			
Cornell Int Law Journal	3	42.443864	-76.48582680000001	United States
El Colegio De Michoacán Ac	2			
University Barcelona	1			
Plaza Valdes	1			
Modern Language Assoc American	3	40.7039998	-74.0112394	United States
Notre Dame Law School	1			
Soc French Studies	1			
American Econ Assn	1			
Basic Books	2			
Consejo Superior Investigaciones Cientificascsic	5	29.5181283	-98.45805569999999	United States
Philosophy Today Depaul University	1			
University Nac La Plata Fac Humanidades Ciencias Educ	1			
West Virginia University	1			
Cartech	2			
Real Academia De La Historia	1			
Siglo Xxi	2	19.8105778	-90.493894	Mexico
Cambridge University Press	456	40.7096898	-74.01101539999999	United States
Cornell University Press	8	42.43985	-76.491564	United States
Liber Factory	1			
Soc Historical Archaeology	4	39.17869270000001	-77.2708743	United States
Anova Books	1			
Paw Prints	1			
Williams Wilkins	1			
Minotaur Books	1			
Baylor University Press	1			
Museum Under Construction	1			
University Pennsylvania Press	14	39.95187960000001	-75.2017146	United States
Historical Reflections	1			
Csis	3	38.9065175	-77.03769120000001	United States
Lumen	3	29.7272742	-95.4191352	United States
Psychology Press	1			
University of Illinois Press	9	40.1006838	-88.24303739999999	United States
European Inst Romania	1			
Maruzen Co	1			
Reaktion Books	3	51.531992	-0.09572	United Kingdom
Duke Law Publ	2	35.999804	-78.945318	United States
Ruben Ygua	1			
Channel View Publ	1			
Harvard University Press	10	42.382977	-71.1270917	United States
Washington State University Press	1			
Nus Press	1			
Capstone	1	44.17754559999999	-94.0391872	United States
Xulon Press	1			
Vydavatelstvo Ekonom	1			
Enigma Books	1			
Taylor Francis As	1			
Center Transylvanian Studies	3			
Paneuropean University Apeiron	1			
Iop Publ	6	39.954427	-75.14992029999999	United States
B T Batsford Limited	1			
Norsk Utenrikspolitisk Inst	1			
American Meteorological Soc	6	42.356916	-71.0670765	United States
Phaidon Press	3	40.726267	-73.9950006	United States
Scholastic Reference	1			
University of Delaware	1			
Elsevier Advanced Technology	1			
International Association of Research Institutes In The History of Art	1			
Editorial Galerna	1			
Omnibus Press Schirmer Trade Books	2			
Alfaguara	2			
Counc Foreign Relat	21	38.897563	-77.041276	United States
Blink	1			
University Tulsa	4	36.1519879	-95.946	United States
Soc Nautical Research	5			
Anthropos Editorial	1			
Edinburgh Companions To Literature	1			
Ayer Co Pub	1			
Nineteenthcentury Prose	2			
Oxford University Press Usa	12	40.7482596	-73.9828835	United States
Masarykova University	1			
Center For Strategic Intl Studies	1			
Michele Villanova	1			
Consejo Superior De Investigaciones Cientificas	3	40.0587791	-5.7542604	Spain
Hachette Uk	6	51.6220636	-1.3003594	United Kingdom
Tempus Pub Limited	1			
University Newcastle	2	-32.8927718	151.7041775	Australia
Gibbs Smith	1			
Catholic University American Press	9	38.9368811	-76.99869199999999	United States
Canadian Science Publ Nrc Research Press	1			
Editorial University De Costa Rica	2			
Roaring Brook Press	1			
New York Universitytamiment Inst	1			
University Press American	2	44.9559953	-93.1177002	United States
Garnstone P	1			
University of Toronto Press	13	43.66805720000001	-79.38638449999999	Canada
Smithsonian Associates	1			
Subsaharan Pub Traders	1			
Mcfarland	1			
Harper	1			
Sejong University Center Int Economics	1			
Baylor University	2			
Ohio State University Press	7	40.0040714	-83.0381448	United States
City University New York	1			
Pottermore	2			
Libresa	1			
Brill Academic Pub	1			
Inst Electrical Engineers	1			
Penguin	11	38.3098574	-104.5970104	United States
Crowood Press	1			
Ulverscroft Large Print Books	1			
Chooseco Llc	1			
Editorial Crítica	1			
Böhlau Verlag Köln Weimar	1			
Centro Estudios Historicus Consejo Super Invest Cientif	1			
Knopf Books For Young Readers	2	43.6439356	-79.39041089999999	Canada
John Wiley Sons	11	37.7894678	-122.4029354	United States
White Horse Press	2			
B De Books	8	43.2164666	-79.754539	Canada
Union Int Telecommunications	1			
University of New Mexico Press	1			
Stef92 Technology	2			
Ariz State University	3	33.4242399	-111.9280527	United States
Nation Co	2	32.748221	-97.052245	United States
Institute of Electrical And Electronics Engineers	2			
University of Saskatchewan	1			
Harvard Law School	1			
Acad Political Science	5	40.81093	-73.964066	United States
Columbia Journal Transnational Law Assoc	4	40.8070804	-73.96028969999999	United States
Clicbooks Digital Media	1			
Western History Association	2			
Centro Estudios Politicos Constitucionales	2			
New England Quarterly	11			
Soffer Publ	6	38.9069948	-76.83554099999999	United States
Grupo Nelson	1			
Suma Internacional	1			
Texas Am University Press	6	30.6116566	-96.33365739999999	United States
Oxbow Books	1			
Rosebelford	1			
Cornell Law School	1			
Llewellyn Worldwide	1			
Lid Editorial	3			
Mit Press Journals	2	42.360091	-71.09416	United States
Mcgraw Hill	24	37.1573333	-81.5342977	United States
Editorial Verbum	2			
Carnegie Endowment Intl Peace	1			
Arcadia Publ	1			
Studien Verlag	1			
Jason Aronson	1			
Macfadden Performing Arts Media Llc	1			
Pontificia University Catolica Chile Fac Letras	1			
Latinoamericana Editores	1			
Amberley Publ Limited	2			
Rafael Alcalde Cuellar	1			
Taylor Francis	28	25.8521278	-80.5660657	United States
American Inst Chemical Engineers	1			
Edizioni Plus	1			
Inst Engineering Technologyiet	1			
Environmental History	3	47.2445088	-122.437991	United States
Longman Australia	1			
Fondo Editorial De Nl	1			
Insula Libreria Edic Publ Sa	4			
University De Salamanca	1			
谷月社	1			
Frank Cass Publ	2			
University Press of Colorado	1			
World Scientific Publ Co Pte	1			
Infinity Pub	1			
Yijun Institute International Law	1			
Juan De La Cuesta	1			
U of Minnesota Press	3	44.9815131	-93.2623311	United States
Johns Hopkins University Press	100	39.3299013	-76.6205177	United States
Bowkersaur	1			
Ajuntamiento Eliana	1			
American Inst Planners	1			
North Texas Stat University	2			
Ril Editores	1			
Australian Inst Int Affairs	2			
Edizioni Nuova Cultura	1			
Council Foreign Relat Ions	5	38.897563	-77.041276	United States
University of Pennsylvania Press	26	39.95187960000001	-75.2017146	United States
Wiley	27	40.5335324	-74.54045839999999	United States
Fabrizio Serra Editore	1			
Religious Research Assoc	1			
Carroll Graf Publ	1			
Art Digest	1			
Gecmarconi Electronics	1			
University of Iowa Press	8	41.6711093	-91.542137	United States
University of North Texas Press	2			
University Southern Calif	1			
Macmillan Magazines	8	40.7235093	-74.0064435	United States
American Inst Aeronautics Astronautics	2	38.949595	-77.3861926	United States
M I T Press	11	37.5275918	-83.2715652	United States
University Pr of American	1			
Goteborgs Universityersitet	2			
W Bertelsmann Verlag Gmbh Co Kg	1			
Kluwer Law Int	10			
Longman Publ Group	1			
Museum Afr American Art	1			
New York Times	8	40.75608649999999	-73.9901118	United States
Academic Press	11	43.435981	-79.7148539	Canada
U of Nebraska Press	2			
Edwin Mellen Press	1			
Biomed Central	1			
New Republic	3	40.73549879999999	-73.9918813	United States
Blatt Ríos	1			
Ed Inst Boston University	11	42.3504997	-71.1053991	United States
Sage Publ India Pvt	1			
Editorial Uoc	1			
Springer Science Business Media	2			
Natl Poetry Foundation	2			
W W Norton Company	4	40.7539143	-73.9810162	United States
Elsevier Science	2			
Assoc Coll Research Libraries	1			
Editora Regional De Murcia	1			
Walter De Gruyter	1			
Hart Publ Limited	1			
Rodopi	1			
Publicaffairs	3	40.766288	-73.9825185	United States
Cent Great Plains Stud	2			
Presbyterian Historical Soc	3	39.9431122	-75.1499077	United States
Revues Org	1			
Authorhouse	1			
Clahr Spanish Colonial Res Center	1			
Lane Allen	1			
Soc Spanish Spanishamerican Studies	1			
University Northern Colorado Co Ester G Gonzalez Editor	1			
British Telecommunications Plc	1			
Brown University	1			
Penguin Canada	1			
Copernicus Gesellschaft Mbh	3	51.5351769	9.9222444	Germany
Royal Roads Military Coll	2			
University Penn Law Sch	4	39.9539003	-75.19311379999999	United States
Royal Scottish Geograph Soc	1			
Kentucky Historical Soc	5	38.1991164	-84.87475909999999	United States
Csic Consejo Superior De Investigaciones Cientificas	5	29.5181283	-98.45805569999999	United States
University Barcelona Servei Publicacions	1			
Lehigh University Press	1			
Berghahn Journals	13			
Michigan State University Press	8	42.71653209999999	-84.4929226	United States
Royal Inst Int Affairs	6			
Humanities Press	2			
Butterworthheinemann	1			
Pennsylvania State University Press	4	40.8119281	-77.8698675	United States
Books Llc	2			
Ecobook	2	35.5647952	139.7084129	Japan
European Institute	9	38.9029004	-77.0390135	United States
Editorial Paidotribo	1			
University Press of Virginia	14	38.0335529	-78.5079772	United States
Ekonom	3	52.0345571	29.191562	Belarus
University De Concepcion	2	-36.8294765	-73.0341825	Chile
Edinburgh University Pr	2	55.9445158	-3.1892413	United Kingdom
Faculty of European Studies	5	32.7770387	-117.0740298	United States
Inst of Social Sciences Ivo Pilar	1			
Bloomington Indiana University Press	1			
Manchester University Press	12	53.475184	-2.233768	United Kingdom
Keatsshelley Assoc American	1			
Tusquets Editor	1			
Modern Humanities Res Assn	3			
Peerj	2			
Portobello Books	1			
Assoc Historia Contemporanea Marcial Pons Ediciones Historia S A	1			
Domain	1			
Bell Laboratories	2			
Ediciones Granica Sa	2	-34.603125	-58.389902	Argentina
Brookings Inst	1			
Hudson Review	2			
Coll Polytechnics Jihlava	1			
Counterpoint Press	1			
Soc Spanish Spanishamer Studies	1			
Center Historical Social Researchzentrum Historische Sozialforschung	4			
American Heritage Subscription Dept	4	40.2338438	-111.6585337	United States
Hunter College Center For Puerto Rican Studies	2			
University of Wisconsin Press	7	43.0641729	-89.41877099999999	United States
University Virginia	1			
The Communications Network	1			
Bantam	1			
Canadian Journal Communication	1			
Publicaciones De La Residencia De Estudiantes	2			
Peter Lang Publ Group	2			
Royal Soc London	1			
University Nacional De Educacion A Distancia 1	1			
Soc Historians Early American Republic	5	39.953409	-75.1916499	United States
Wilfrid Laurier University Press	4	43.4723532	-80.5263399	Canada
New York Harper Row	1			
Amberley Pub Plc	1			
Transaction Publ	3	40.5183764	-74.3342279	United States
Random House Canada	2			
Popular Culture Assn	1			
New School University	3	40.735547	-73.994297	United States
Harper Collins	15	40.7109511	-74.0099293	United States
Ottawa Fieldnaturalists Club	1			
Akademie Verlag Gmbh	1			
La Editorial Upr	1			
Rihaint Assoc Research Inst History Art	1			
Nicolae Balcesculand Forces Academy	5	45.7890525	24.1553569	Romania
University Marylandctr Renaissance Baroque Stud	1			
Broadview Press	1			
